file	coding
021A-C0897X0004XX-AAZZP0_000407_KDP_2__WHAT-YOU__1675-3025	0
021A-C0897X0004XX-ABZZP0_000421_KDP_15__GET-YOU__2438-8125	0
021A-C0897X0005XX-AAZZP0_000512_KDP_26__BUT-YOU__2422-7125	0
021A-C0897X0005XX-AAZZP0_000512_KDP_26__BUT-YOU__2435-5625	0
021A-C0897X0005XX-AAZZP0_000512_KDP_26__THAT-YOU__1879-2425	0
021A-C0897X0005XX-AAZZP0_000512_KDP_26__WHAT-YOU__1981-1225	0
021A-C0897X0005XX-ABZZP0_000510_KDP_24__WHAT-YOU__1877-7025	0
021A-C0897X0006XX-ABZZP0_000610_KDP_36__GET-YOU__378-4825	0
021A-C0897X0006XX-ABZZP0_000612_KDP_38__WHAT-YOU__1174-5425	0
021A-C0897X0006XX-ABZZP0_000615_KDP_41__BUT-YOU__2156-9325	0
021A-C0897X0008XX-AAZZP0_000806_KDP_49__BIT-YOU__1952-6425	0
021A-C0897X0008XX-ABZZP0_000809_KDP_52__AT-YOU__1067-8925	0
021A-C0897X0009XX-AAZZP0_000903_KDP_57__PUT-YOU__344-0825	0
021A-C0897X0009XX-AAZZP0_000903_KDP_57__YET-YOU__671-5925	0
021A-C0897X0020XX-ABZZP0_002010_KBK_10__BUT-YOU__193-505	0
021A-C0897X0020XX-ABZZP0_002010_KBK_10__THAT-YOU__868-251012493	0
021A-C0897X0021XX-ABZZP0_002123_KBK_25__IT-YOU__1800-16785843	0
021A-C0897X0021XX-ABZZP0_002123_KBK_25__THAT-YOU__1722-49785843	0
021A-C0897X0022XX-AAZZP0_002211_KBK_44__BEST-YOU__1844-2325	0
021A-C0897X0022XX-ABZZP0_002228_KBK_61__IT-YOU__1698-3225	0
021A-C0897X0023XX-ABZZP0_002317_KBK_83__THAT-YOU__563-853495508	0
021A-C0897X0024XX-AAZZP0_002411_KBK_111__BUT-YOU__2243-72614764	0
021A-C0897X0024XX-AAZZP0_002411_KBK_111__BUT-YOU__2361-98614764	0
